"sourceRoute"	"finalDisposition"	"finalTarget"	"evidence"
"animation/create-controller"	"custom_cli"	"vm_auto_animation_create_controller"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/create-controller' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_create_controller' without an MCP transport."
"animation/get-blend-tree"	"custom_cli"	"vm_auto_animation_get_blend_tree"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/get-blend-tree' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_get_blend_tree' without an MCP transport."
"animation/get-curve-keyframes"	"custom_cli"	"vm_auto_animation_get_curve_keyframes"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/get-curve-keyframes' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_get_curve_keyframes' without an MCP transport."
"animation/get-events"	"custom_cli"	"vm_auto_animation_get_events"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/get-events' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_get_events' without an MCP transport."
"animation/remove-curve"	"custom_cli"	"vm_auto_animation_remove_curve"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-curve' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_curve' without an MCP transport."
"animation/remove-event"	"custom_cli"	"vm_auto_animation_remove_event"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-event' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_event' without an MCP transport."
"animation/remove-keyframe"	"custom_cli"	"vm_auto_animation_remove_keyframe"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-keyframe' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_keyframe' without an MCP transport."
"animation/remove-layer"	"custom_cli"	"vm_auto_animation_remove_layer"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-layer' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_layer' without an MCP transport."
"animation/remove-parameter"	"custom_cli"	"vm_auto_animation_remove_parameter"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-parameter' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_parameter' without an MCP transport."
"animation/remove-state"	"custom_cli"	"vm_auto_animation_remove_state"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-state' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_state' without an MCP transport."
"animation/remove-transition"	"custom_cli"	"vm_auto_animation_remove_transition"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/remove-transition' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_remove_transition' without an MCP transport."
"animation/set-clip-curve"	"custom_cli"	"vm_auto_animation_set_clip_curve"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/set-clip-curve' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_set_clip_curve' without an MCP transport."
"animation/set-clip-settings"	"custom_cli"	"vm_auto_animation_set_clip_settings"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/set-clip-settings' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_set_clip_settings' without an MCP transport."
"animation/set-object-reference-curve"	"custom_cli"	"vm_auto_animation_set_object_reference_curve"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/set-object-reference-curve' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_set_object_reference_curve' without an MCP transport."
"animation/transition-info"	"custom_cli"	"vm_auto_animation_transition_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/transition-info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_transition_info' without an MCP transport."
"animation/update-state"	"custom_cli"	"vm_auto_animation_update_state"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/update-state' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_update_state' without an MCP transport."
"animation/update-transition"	"custom_cli"	"vm_auto_animation_update_transition"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/update-transition' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_update_transition' without an MCP transport."
"animation/validate-controller"	"custom_cli"	"vm_auto_animation_validate_controller"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'animation/validate-controller' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_animation_validate_controller' without an MCP transport."
"asmdef/add-references"	"custom_cli"	"vm_auto_asmdef_add_references"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/add-references' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_add_references' without an MCP transport."
"asmdef/create"	"custom_cli"	"vm_auto_asmdef_create"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/create' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_create' without an MCP transport."
"asmdef/create-ref"	"custom_cli"	"vm_auto_asmdef_create_ref"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/create-ref' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_create_ref' without an MCP transport."
"asmdef/info"	"custom_cli"	"vm_auto_asmdef_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_info' without an MCP transport."
"asmdef/list"	"custom_cli"	"vm_auto_asmdef_list"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/list' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_list' without an MCP transport."
"asmdef/remove-references"	"custom_cli"	"vm_auto_asmdef_remove_references"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/remove-references' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_remove_references' without an MCP transport."
"asmdef/set-platforms"	"custom_cli"	"vm_auto_asmdef_set_platforms"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/set-platforms' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_set_platforms' without an MCP transport."
"asmdef/update-settings"	"custom_cli"	"vm_auto_asmdef_update_settings"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asmdef/update-settings' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asmdef_update_settings' without an MCP transport."
"asset/copy"	"custom_cli"	"vm_auto_asset_copy"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/copy' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_copy' without an MCP transport."
"asset/create-folder"	"custom_cli"	"vm_auto_asset_create_folder"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/create-folder' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_create_folder' without an MCP transport."
"asset/create-material"	"custom_cli"	"vm_auto_asset_create_material"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/create-material' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_create_material' without an MCP transport."
"asset/create-prefab"	"custom_cli"	"vm_auto_asset_create_prefab"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/create-prefab' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_create_prefab' without an MCP transport."
"asset/delete"	"custom_cli"	"vm_auto_asset_delete"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/delete' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_delete' without an MCP transport."
"asset/dependencies"	"custom_cli"	"vm_auto_asset_dependencies"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/dependencies' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_dependencies' without an MCP transport."
"asset/export-unitypackage"	"custom_cli"	"vm_auto_asset_export_unitypackage"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/export-unitypackage' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_export_unitypackage' without an MCP transport."
"asset/import"	"custom_cli"	"vm_auto_asset_import"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/import' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_import' without an MCP transport."
"asset/import-settings/get"	"custom_cli"	"vm_auto_asset_import_settings_get"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/import-settings/get' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_import_settings_get' without an MCP transport."
"asset/import-settings/set"	"custom_cli"	"vm_auto_asset_import_settings_set"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/import-settings/set' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_import_settings_set' without an MCP transport."
"asset/import-unitypackage"	"custom_cli"	"vm_auto_asset_import_unitypackage"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/import-unitypackage' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_import_unitypackage' without an MCP transport."
"asset/list"	"custom_cli"	"vm_auto_asset_list"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/list' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_list' without an MCP transport."
"asset/move"	"custom_cli"	"vm_auto_asset_move"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/move' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_move' without an MCP transport."
"asset/refresh"	"custom_cli"	"vm_auto_asset_refresh"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/refresh' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_refresh' without an MCP transport."
"asset/rename"	"custom_cli"	"vm_auto_asset_rename"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/rename' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_rename' without an MCP transport."
"asset/transaction"	"custom_cli"	"vm_auto_asset_transaction"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'asset/transaction' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_asset_transaction' without an MCP transport."
"audio-mixer/info"	"custom_cli"	"vm_auto_audio_mixer_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'audio-mixer/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_audio_mixer_info' without an MCP transport."
"audio-mixer/transaction"	"custom_cli"	"vm_auto_audio_mixer_transaction"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'audio-mixer/transaction' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_audio_mixer_transaction' without an MCP transport."
"audio/create-source"	"custom_cli"	"vm_auto_audio_create_source"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'audio/create-source' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_audio_create_source' without an MCP transport."
"audio/info"	"custom_cli"	"vm_auto_audio_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'audio/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_audio_info' without an MCP transport."
"audio/set-global"	"custom_cli"	"vm_auto_audio_set_global"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'audio/set-global' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_audio_set_global' without an MCP transport."
"build/get-job"	"custom_cli"	"vm_auto_build_get_job"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'build/get-job' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_build_get_job' without an MCP transport."
"build/profile"	"custom_cli"	"vm_auto_build_profile"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'build/profile' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_build_profile' without an MCP transport."
"build/start"	"custom_cli"	"vm_auto_build_start"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'build/start' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_build_start' without an MCP transport."
"cinemachine/info"	"custom_cli"	"vm_auto_cinemachine_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'cinemachine/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_cinemachine_info' without an MCP transport."
"cinemachine/transaction"	"custom_cli"	"vm_auto_cinemachine_transaction"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'cinemachine/transaction' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_cinemachine_transaction' without an MCP transport."
"compilation/errors"	"custom_cli"	"vm_auto_compilation_errors"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'compilation/errors' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_compilation_errors' without an MCP transport."
"component/add"	"custom_cli"	"vm_auto_component_add"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/add' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_add' without an MCP transport."
"component/get-properties"	"custom_cli"	"vm_auto_component_get_properties"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/get-properties' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_get_properties' without an MCP transport."
"component/get-referenceable"	"custom_cli"	"vm_auto_component_get_referenceable"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/get-referenceable' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_get_referenceable' without an MCP transport."
"component/remove"	"custom_cli"	"vm_auto_component_remove"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/remove' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_remove' without an MCP transport."
"component/set-property"	"custom_cli"	"vm_auto_component_set_property"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/set-property' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_set_property' without an MCP transport."
"component/set-reference"	"custom_cli"	"vm_auto_component_set_reference"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'component/set-reference' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_component_set_reference' without an MCP transport."
"console/clear"	"custom_cli"	"vm_auto_console_clear"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'console/clear' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_console_clear' without an MCP transport."
"console/query"	"custom_cli"	"vm_auto_console_query"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'console/query' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_console_query' without an MCP transport."
"constraint/add"	"custom_cli"	"vm_auto_constraint_add"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'constraint/add' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_constraint_add' without an MCP transport."
"constraint/info"	"custom_cli"	"vm_auto_constraint_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'constraint/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_constraint_info' without an MCP transport."
"debug/attach-unity"	"custom_cli"	"vm_auto_debug_attach_unity"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debug/attach-unity' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debug_attach_unity' without an MCP transport."
"debug/evaluate"	"custom_cli"	"vm_auto_debug_evaluate"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debug/evaluate' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debug_evaluate' without an MCP transport."
"debug/set-breakpoint"	"custom_cli"	"vm_auto_debug_set_breakpoint"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debug/set-breakpoint' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debug_set_breakpoint' without an MCP transport."
"debug/stack-trace"	"custom_cli"	"vm_auto_debug_stack_trace"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debug/stack-trace' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debug_stack_trace' without an MCP transport."
"debug/variables"	"custom_cli"	"vm_auto_debug_variables"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debug/variables' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debug_variables' without an MCP transport."
"debugger/enable"	"custom_cli"	"vm_auto_debugger_enable"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debugger/enable' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debugger_enable' without an MCP transport."
"debugger/event-details"	"custom_cli"	"vm_auto_debugger_event_details"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debugger/event-details' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debugger_event_details' without an MCP transport."
"debugger/events"	"custom_cli"	"vm_auto_debugger_events"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'debugger/events' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_debugger_events' without an MCP transport."
"editor/execute-code"	"custom_cli"	"vm_auto_editor_execute_code"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editor/execute-code' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editor_execute_code' without an MCP transport."
"editor/execute-menu-item"	"custom_cli"	"vm_auto_editor_execute_menu_item"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editor/execute-menu-item' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editor_execute_menu_item' without an MCP transport."
"editor/play-mode"	"custom_cli"	"vm_auto_editor_play_mode"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editor/play-mode' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editor_play_mode' without an MCP transport."
"editor/state"	"custom_cli"	"vm_auto_editor_state"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editor/state' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editor_state' without an MCP transport."
"editorprefs/delete"	"custom_cli"	"vm_auto_editorprefs_delete"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editorprefs/delete' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editorprefs_delete' without an MCP transport."
"editorprefs/get"	"custom_cli"	"vm_auto_editorprefs_get"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editorprefs/get' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editorprefs_get' without an MCP transport."
"editorprefs/set"	"custom_cli"	"vm_auto_editorprefs_set"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'editorprefs/set' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_editorprefs_set' without an MCP transport."
"gameobject/create"	"custom_cli"	"vm_auto_gameobject_create"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/create' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_create' without an MCP transport."
"gameobject/delete"	"custom_cli"	"vm_auto_gameobject_delete"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/delete' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_delete' without an MCP transport."
"gameobject/duplicate"	"custom_cli"	"vm_auto_gameobject_duplicate"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/duplicate' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_duplicate' without an MCP transport."
"gameobject/info"	"custom_cli"	"vm_auto_gameobject_info"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/info' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_info' without an MCP transport."
"gameobject/reparent"	"custom_cli"	"vm_auto_gameobject_reparent"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/reparent' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_reparent' without an MCP transport."
"gameobject/set-active"	"custom_cli"	"vm_auto_gameobject_set_active"	"VMUnityAutomation bfc612c350fbc83b37fd33b324670bd7dec7f447 publishes 'gameobject/set-active' with its migrated input/output contract and handler; vm_automation_call exposes it as 'vm_auto_gameobject_set_active' without an MCP transport."
